ID,Key,String
1834453596803072,WORLDEVENT1_PAGE1,"队伍发现了一个孤独的营地。从营地的状态来看，它已经被遗弃了好几天。  

然而，看到仍有几件露营用品和个人物品散落在周围，营地的主人显然并不打算离开太久。队伍开始怀疑这可能是他们正在寻找的失踪者的营地。"
1834453605191680,WORLDEVENT1_DECISION1,查看是否有任何有价值的物品可以带走
1834453609385984,WORLDEVENT1_DECISION1RESULT0_PAGE1,队伍找到了一些可能对他们有用的物品。
1834453609385985,WORLDEVENT1_DECISION2,寻找线索。
1834453613580288,WORLDEVENT1_DECISION2RESULT0_PAGE1,"队伍四处查看，看看能否找到任何能够识别营地主人的线索，以及他们可能在哪里。  

他们在帐篷里发现的许多东西表明，营地的主人实际上是一名冒险者，或者至少是一个在户外生活方面有些经验的人。现在很可能这就是他们正在寻找的人。  

{CHARACTER1}能够找到一些通往营地外的足迹。如果他们跟随这些足迹，或许能发现失踪的儿子发生了什么。"
1834453613580289,WORLDEVENT1_DECISION2ALTRESULT0_PAGE1,"队伍四处查看，看看能否找到任何能够识别营地主人的线索，以及他们可能在哪里。  

不幸的是，他们没有找到任何能够提供线索的东西。现在他们只能确定这里可能还有其他旅客。"
1834453613580290,WORLDEVENT1_DECISION3,离开营地。
1834453613580291,WORLDEVENT1_DECISION3RESULT0_PAGE1,队伍离开了营地。这里没有更多的发现。
1834453613580292,WORLDEVENT1_DECISION4,离开营地。
1834453613580293,WORLDEVENT1_DECISION4RESULT0_PAGE1,队伍暂时离开了营地。
1834453613580294,WORLDEVENT2_PAGE1,队伍在思考接下来该做什么。
1834453613580295,WORLDEVENT3_PAGE1,"冒险者们抵达了克拉格蒙德的竞技场，尽管比赛尚未开始，但已经有一大群观众聚集在竞技场的看台上。这些提前到达的人只是为了观察参赛者，等待其他观众的到来。  

在竞技场中，几组男女已经集合在一起。他们大多数都是和他们一样的冒险者，然而有一个关键的不同之处是，他们并未与公会有任何关联。他们中的许多人要么与他人交谈，夸耀自己的能力，要么则与同伴保持距离，以掩盖自己的真实实力。在这些群体中，有一组显得格外突出。他们的装备闪耀着金钱所能购买的最高品质，只有他们散发出的自信与之相匹配——这种自信只能通过多年的战斗经验获得。冒险者们显然意识到，这些人是法尔肯的昔日战友。"
1834453617774592,WORLDEVENT3RESULT0_PAGE1,"突然，一个身着华丽服装的男子高声叫道，他的威严声音在竞技场中回荡。随着他优雅的手势，他自我介绍为竞技场的主人，并对参赛者们的到来表示感谢，参与这场盛大的比赛。眼中闪烁着兴奋的光芒，他继续解释，在盛大比赛开始之前，每个队伍都需要在一系列挑战中证明自己。只有得分最高的队伍才能获得在竞技场竞争的荣誉。  

“准备迎接力量、灵巧和意志力的终极考验！”他宣称，声音中充满期待的火花。“只有你们中最优秀的人才能获得在我们竞技场战斗的权利！”"
1834453617774593,WORLDEVENT4_PAGE1,"队伍找到了村长达里尔所提到的冒险者。从他的装备来看，他似乎是一个偏爱弓箭作为武器的人。  

这个年轻人正在收拾营地。显然，他准备离开村庄。"
1834453617774594,WORLDEVENT4_PAGE2,"“我想你们就是村民雇来保护他们的那个公会的冒险者。”他看到队伍后说道。“我大致可以猜到你们来这里的原因，所以让我节省我们双方的时间，给你们一个我之前给村民的答案：  

我没有打算把我的生命抛弃。”"
1834453617774595,WORLDEVENT4_PAGE3,"他收拾完营地，把一个旅行包扔在肩上。  
“给你们一句建议：离开吧，告诉村民们也这样做；也许他们会听你们的。这个村庄在强盗王的手下出现的那一刻就注定要毁灭。”"
1834453617774596,WORLDEVENT4_DECISION1,尝试说服他帮助。
1834453617774597,WORLDEVENT4_DECISION1RESULT0_PAGE1,"{CHARACTER1}问他是否能为队伍提供任何帮助。任何帮助，无论多么微小，都可能帮助他们拯救村庄。  

冒险者叹了口气。"
1834453617774598,WORLDEVENT4_DECISION1RESULT0_PAGE2,"“……我承认如果我至少做点什么，我会睡得更安稳。虽然我怀疑这会有什么用。”  

他指着自己的弓：“我射得还不错，对附近的森林也非常熟悉。  

我或许能拖延一些强盗，这样你们就不必同时应对太多的他们。但别指望更多。”"
1834453617774599,WORLDEVENT4_DECISION1RESULT0_PAGE3,"“好吧，如果没有别的事，我就要走了。祝你们好运。你们会需要它的。  

如果你们真的能活下来，那我可能会考虑去你们的冒险者公会看看。”"
1834453621968896,WORLDEVENT4_DECISION1ALTRESULT0_PAGE1,"{CHARACTER1}尽力说服冒险者帮助他们，但冒险者只是摇了摇头。  

“这根本不值得。我并不是不为村民感到遗憾。他们是好人，但最终我们冒险者必须首先考虑自己。  

听我的劝告，离开吧。”"
1834453621968897,WORLDEVENT4_DECISION1ALTRESULT0_PAGE2,"“好吧，如果没有别的事，我就要走了。祝你们好运。你们会需要它的。  

如果你们真的能活下来，那我可能会考虑去你们的冒险者公会看看。”"
1834453621968898,WORLDEVENT4_DECISION2,埃兰有话要说。
1834453621968899,WORLDEVENT4_DECISION2RESULT0_PAGE1,"埃兰向达里尔走去，问道：“你真的对此没问题吗？”  

惊讶的达里尔反问：“没问题什么？”  

“就为了生存而活着？难道你成为冒险者不是为了让自己的生活有所成就吗？”  

达里尔叹了口气。“别告诉我你是那种冒险者？小子，我们不是英雄。你只是听了太多醉酒冒险者在酒馆里的故事，他们想让自己看起来更伟大。  

然而，事实是我们并不是。你真的认为我成为冒险者是因为我想吗？我基本上只是个流浪汉。”"
1834453621968900,WORLDEVENT4_DECISION2RESULT0_PAGE2,"<b>“但你难道不想成为更多吗？”</b> 埃兰大声喊道，惊讶了所有人。埃兰通常不是那种会提高声音的人。  

“我在一个任务中被怪物伏击，独自在洞穴里差点死去，那次任务我只需要采集一些草药。那时让我最害怕的并不是死亡本身，而是如果我在那一刻死去，那么我的生命将毫无意义。”  

埃兰看着达里尔：“如果你现在逃跑，今天当然可以活下来。如果你不断从一个地方逃到另一个地方，甚至可能活得更久。  

但总有一天你会死，而那时你将一无所有。”  

达里尔显得不安。他显然不喜欢这个前景。"
