ID,Key,String
4443831439360,CAMP_DIALOGUE1CHARACTER1_LINE1,{CHARACTER2}...现在谁负责营地的火？
4443844022272,CAMP_DIALOGUE1CHARACTER2_LINE2,我告诉{CHARACTER3}去处理这件事。
4443844022273,CAMP_DIALOGUE1CHARACTER1_LINE3,等等... 什么！？你知道{GENDER3:cond:=1?he|=0?she}有两个左手吗！
4443844022274,CAMP_DIALOGUE1CHARACTER2_LINE4,那又怎样？会发生什么呢？
4443844022275,CAMP_DIALOGUE1CHARACTER4_LINE5,啊！！！火！！！！
4443844022276,CAMP_DIALOGUE1CHARACTER3_LINE6,哎呀...
4443844022277,CAMP_DIALOGUE2CHARACTER1_LINE1,如果今晚被伏击怎么办？
4443844022278,CAMP_DIALOGUE2CHARACTER2_LINE2,所以我们才有夜间守卫。
4443844022279,CAMP_DIALOGUE2CHARACTER1_LINE3,如果他们累了睡着怎么办？
4443844022280,CAMP_DIALOGUE2CHARACTER2_LINE4,所以我们有轮班制度。
4443844022281,CAMP_DIALOGUE2CHARACTER1_LINE5,但如果他们偷偷溜过守卫怎么办？
4443844022282,CAMP_DIALOGUE2CHARACTER2_LINE6,那希望他们先干掉你。
4443844022283,CAMP_DIALOGUE3CHARACTER3_LINE1,"{CHARACTER1}，为什么{CHARACTER2}在做你的杂事？"
4443844022284,CAMP_DIALOGUE3CHARACTER1_LINE2,哦那个？我只是告诉{GENDER2:cond:=1?he|=0?she}
4443844022285,CAMP_DIALOGUE3CHARACTER1_LINE3,相当惊讶{GENDER2:cond:=1?he|=0?she}居然上当了。
4443844022286,CAMP_DIALOGUE3CHARACTER2_LINE4,{CHARACTER1}！什么时候才开始有趣？现在还不算有趣。
4443844022287,CAMP_DIALOGUE3CHARACTER1_LINE5,马上就来，伙计！马上就来！
4443844022288,CAMP_DIALOGUE4CHARACTER1_LINE1,45...46...47...
4443844022289,CAMP_DIALOGUE4CHARACTER2_LINE2,你能不能停止锻炼？让我懒散一下可不容易。
4443844022290,CAMP_DIALOGUE5CHARACTER1_LINE1,我们一定要完成这个任务！要么就死在路上！
4443844022291,CAMP_DIALOGUE5CHARACTER2_LINE2,那就死吧...
4443844022292,CAMP_DIALOGUE6CHARACTER2_LINE1,...然后他说：“那不是我妈妈！那是个巨魔！”哈哈哈哈！
4443844022293,CAMP_DIALOGUE6CHARACTER1_LINE2,...我不明白。
4443844022294,CAMP_DIALOGUE6CHARACTER2_LINE3,...我真的应该停止尝试给你讲笑话。
4443848216576,CAMP_DIALOGUE7CHARACTER1_LINE1,嘿..嘿！别从我身后经过！
4443848216577,CAMP_DIALOGUE7CHARACTER2_LINE2,你到底在担心什么？难道你以为我会在背后捅你一刀？
4443848216578,CAMP_DIALOGUE7CHARACTER1_LINE3,谁知道呢，和你在一起我已经很难入睡了。
4443848216579,CAMP_DIALOGUE7CHARACTER2_LINE4,相信我，如果我来找你，你会知道的。
4443848216580,CAMP_DIALOGUE8CHARACTER1_LINE1,你知道吗，{CHARACTER2}。有时候我真希望我能和你一样高。
4443848216581,CAMP_DIALOGUE8CHARACTER2_LINE2,其实也没那么好。几乎没有一个房间我能直立，或者一张床我能真正伸展。
4443848216582,CAMP_DIALOGUE8CHARACTER1_LINE3,但至少人们会认真对待你，而在我身边，他们却像对待小孩一样。
4443848216583,CAMP_DIALOGUE8CHARACTER2_LINE4,我一直都很认真地对待你。
4443848216584,CAMP_DIALOGUE8CHARACTER1_LINE5,我知道……谢谢你。
4443848216585,CAMP_DIALOGUE9CHARACTER1_LINE1,你知道你的善良总有一天会害了你，对吧？
4443848216586,CAMP_DIALOGUE9CHARACTER2_LINE2,这突然从哪里冒出来的？
4443848216587,CAMP_DIALOGUE9CHARACTER1_LINE3,几天前我看到你在帮助一些陌生人，甚至还独自跟着他们。你太相信别人了。如果发生了什么事，你会怎么办？
4443848216588,CAMP_DIALOGUE9CHARACTER2_LINE4,没什么好担心的。毕竟似乎有个好朋友在照顾我。比{GENDER1:cond:=1?he|=0?she}想象的还要善良的人。
4443848216589,CAMP_DIALOGUE9CHARACTER1_LINE5,*脸红* 什、什么？！不，不是因为这个我才跟着的……呃……
4443848216590,CAMP_DIALOGUE9CHARACTER2_LINE6,*微笑*
4443848216591,CAMP_DIALOGUE10CHARACTER2_LINE1,嘿，{CHARACTER1}！
4443848216592,CAMP_DIALOGUE10CHARACTER1_LINE2,……
4443848216593,CAMP_DIALOGUE10CHARACTER2_LINE3,{CHARACTER1}！！
4443848216594,CAMP_DIALOGUE10CHARACTER1_LINE4,……什——什么？哦，是你啊，{CHARACTER2}！
4443848216595,CAMP_DIALOGUE10CHARACTER2_LINE5,你怎么了？我叫了你好几遍，你却一直在发呆盯着远处。
4443848216596,CAMP_DIALOGUE10CHARACTER1_LINE6,我……我只是想起了一些事情……
4443848216597,CAMP_DIALOGUE10CHARACTER2_LINE7,什么事情？
