ID,Key,String
585872871424,BACKGROUND0,"{CHARACTER1}出生于商人家庭，从未经历过冲突的生活。然而，有一天他们的商队遭到土匪袭击，她失去了所有的家人。
自那日起，{CHARACTER1}就难以平静地继续生活。她拒绝了教会帮助她开始新生活的提议，
反而选择成为一名冒险者，希望冒险生涯能为她灰暗而压抑的世界带来一丝光明。"
585902231552,BACKGROUND1,"达里尔很少谈及自己的过去，称那并不是特别有趣的故事。他看起来也并不是那种会轻易向别人敞开心扉的人。

我们所知道的只是，达里尔已经独自作为冒险者生活了一段时间，这本身就是了不起的壮举。"
585906425856,BACKGROUND2,"埃兰出身农民家庭。虽然他在爱的关怀中长大，但他内心深处却一直害怕过着平凡而无意义的生活。因此，他违背家人的意愿离开了家乡，选择成为冒险者。

起初，埃兰作为一名独立冒险者四处闯荡，但在一次险些丧命的经历之后，他意识到只有加入冒险者公会，他才能活得更久，并在世间留下自己的印记。"
585906425857,BACKGROUND3,"{CHARACTER1}总是和错误的人为伴，从出生之时就是如此。她的父母在她还是个孩子时就把她训练成小偷，靠她偷来的东西为生。
当守卫开始通缉他们时，{CHARACTER1}的父母抛弃了她逃之夭夭。
不久，一群盗贼看中了她的天赋，将她收入麾下。尽管{CHARACTER1}可能称他们为朋友，但实际上他们和她的父母一样，只关心如何从她身上获利。
她心知肚明，但无处可去，只能听之任之。后来，在一个神秘斗篷人的劝说下，她甚至跟随自己的团队加入了土匪之王的阵营，被名利所诱惑。她在土匪之王手下做过许多令自己羞愧、至今悔恨的事情。

但当冒险者公会的冒险者出现时，她终于有机会脱离了土匪团伙。如今，她加入了冒险者公会，希望能够过上体面的生活。"
585906425858,BACKGROUND4,"{CHARACTER1}只有5岁时，便意外发现{GENDER1:cond:=1?他|=0?她}拥有魔法天赋，不小心烧毁了自己最喜爱的玩具。在其他地方，这或许不算大事，但在{GENDER1:cond:=1?他|=0?她}偏远的村庄，人们对魔法极为戒备。
因此，村里严令禁止{GENDER1:cond:=1?他|=0?她}再使用魔法，但孩子的好奇心却更加强烈。
在接下来的几年中，{GENDER1:cond:=1?他|=0?她}秘密练习魔法，逐渐变得更加强大。但在青少年时期，一场灾难降临了。{CHARACTER1}从未详细讲述究竟发生了什么，只是说{GENDER1:cond:=1?他|=0?她}再也无法回到家乡，从此便开始了冒险者的生活。"
585906425859,BACKGROUND5,"{CHARACTER1}是个孤儿，年幼时被一位年迈的灰袍巫师收养。巫师看中了{CHARACTER1}身上的潜力，收{GENDER1:cond:=1?他|=0?她}为徒。
这位老巫师是个严格的老师，{CHARACTER1}的童年大多在不断学习和背诵魔法咒语中度过。随着时间流逝，老巫师变得更加衰老虚弱，{CHARACTER1}逐渐从学习变为照顾老人。
最终，巫师离开了人世，再度孤身一人的{CHARACTER1}决定踏上旅程，探索世界。"
585906425860,BACKGROUND6,"{CHARACTER1}曾是一个四处旅行的表演团体成员，这个团体同时也是{GENDER1:cond:=1?他|=0?她}的家人。他们居无定所，以在城镇和乡村表演为生。
尽管{CHARACTER1}有魔法天赋，但因为没有合适的导师指导，{GENDER1:cond:=1?他|=0?她}只能做些小魔法戏法，取悦无知的村民们。然而，{CHARACTER1}并不满足于这样的生活，梦想着有一天能成为强大的法师，而不必再为琐碎的零钱表演。当表演团路过冒险者公会时，{CHARACTER1}意识到这是彻底改变自己生活的机会。"
585906425861,BACKGROUND7,"{CHARACTER1}从未真正拥有过属于自己的家。由于{GENDER1:cond:=1?他|=0?她}具备魔法天赋，人们总是充满疑虑地看待{GENDER1:cond:=1?他|=0?她}。无知的人们常常把生活中的各种不幸归咎于巫术。
宠物失踪了？一定是法师抓去做实验了。庄稼歉收？魔法污染了土地。丈夫出轨了？当然是法师为了满足自己的邪念操控了他。
因此，{CHARACTER1}的一生中屡次被误解和驱赶，最初这样对待{GENDER1:cond:=1?他|=0?她}的人，竟是{GENDER1:cond:=1?他|=0?她}的亲生父母。
讽刺的是，{GENDER1:cond:=1?他|=0?她}的魔法天赋却恰恰是冒险者所需的宝贵技能，无路可走的{CHARACTER1}最终选择成为冒险者。"
585906425862,BACKGROUND8,"{CHARACTER1}自称出自一个古老的魔法世家，其祖先甚至可以追溯到天人统治大陆的时代。尽管这种说法难以验证，但{CHARACTER1}确实掌握了不凡的魔法技巧，以及许多如今鲜为人知的魔法知识。
无论如何，{CHARACTER1}立志以冒险者身份扬名天下，坚信为家族争取荣耀和财富是{GENDER1:cond:=1?他|=0?她}的使命。"
585906425863,BACKGROUND9,"人们对{CHARACTER1}知之甚少。没人知道{GENDER1:cond:=1?他|=0?她}来自何处，也不清楚{GENDER1:cond:=1?他|=0?她}为何成为冒险者。甚至，{CHARACTER1}可能都不是{GENDER1:cond:=1?他|=0?她}的真名。
我们只知道{CHARACTER1}精通魔法，见识广博，甚至表现出与年龄不符的成熟。
不管{GENDER1:cond:=1?他|=0?她}的秘密是什么，{GENDER1:cond:=1?他|=0?她}似乎打定主意，要将它们带进坟墓。"
585906425864,BACKGROUND10,"{CHARACTER1}出生于一个猎户家庭，是家中最小的孩子。从小{GENDER1:cond:=1?他|=0?她}便学会了弓箭之术，很快便超越了哥哥们，猎捕的猎物甚至比哥哥们更多。
某日，当{GENDER1:cond:=1?他|=0?她}结束狩猎归来，却发现家人们全都遇害，家园也被烧毁殆尽，凶手是一群土匪。
出于复仇，{GENDER1:cond:=1?他|=0?她}如同狩猎猎物一般，将这群土匪一一猎杀。
此后，无法再回到过去生活的{GENDER1:cond:=1?他|=0?她}开始踏上冒险之路。"
