ID,Key,String
38923046912,CLEAR_QUEST_DESCRIPTION,击败 {AMOUNT} 敌人遭遇。
638876291072,COLLECT_PROMPT,收集
729003495424,COLLECT_QUEST_DESCRIPTION,收集{AMOUNT} {ITEM}
1194118254592,COLLECT_QUESTITEM,收集任务物品
1938676976095232,GAMEOBJECTIVE0,阿莉萨的命运
1938677001261056,GAMEOBJECTIVE1,和伊登交谈
1938677001261057,GAMEOBJECTIVE2,和悲伤的女孩交谈
1938677001261058,GAMEOBJECTIVE3,等待阿莉莎做出决定。
1938677001261059,GAMEOBJECTIVE4,周年礼物
1938677001261060,COMPLETE_QUEST_OBJECTIVE,"完成任务:""{QUEST}"""
1938677001261061,GAMEOBJECTIVE6,阿斯特丽德的过去
1938677001261063,GAMEOBJECTIVE8,制作一个物品
1938677001261064,GAMEOBJECTIVE9,制作一个药水
1938677001261065,GAMEOBJECTIVE10,创建一个冒险小队
1938677001261066,GAMEOBJECTIVE11,在决斗中击败白
1938677001261067,GAMEOBJECTIVE12,龙之烦恼
1938677001261069,GAMEOBJECTIVE14,伊甸与诺拉
1938677001261071,GAMEOBJECTIVE16,永恒之花
1938677001261072,COMPLETE_ASSIGNMENT_OBJECTIVE,"完成任务:""{ASSIGNMENT}"""
1938677001261073,GAMEOBJECTIVE18,继续搜索
1938677001261075,GAMEOBJECTIVE20,"开始故事任务""{QUEST}"""
1938677001261076,GAMEOBJECTIVE21,说服圣骑士加入
1938677001261079,GAMEOBJECTIVE24,Luana的担忧
1938677001261081,GAMEOBJECTIVE26,与Fiola交谈
1938677001261082,GAMEOBJECTIVE27,访问酒馆并至少有4名冒险者。
1938677001261083,GAMEOBJECTIVE28,"收集以下物品： 
2 个绷带，2 个解毒剂，2 个小型治疗药水和 2 个小型法力药水"
1938677001261084,GAMEOBJECTIVE29,访问神殿
1938677001261085,GAMEOBJECTIVE30,接受你的第一个任务
1938677001261086,GAMEOBJECTIVE31,访问铁匠铺
1938677001261087,GAMEOBJECTIVE32,访问训练场
1938677001261088,GAMEOBJECTIVE33,结束这一天
1938677001261089,REACH_REPUTATION_OBJECTIVE,"达到声望""{REPUTATION}"""
1938677001261091,GAMEOBJECTIVE36,在酒馆与菲奥拉见面
1938677001261092,GAMEOBJECTIVE37,在炼金术师工作坊拜访艾米莉
1938677001261094,COMPLETE_RANK_QUEST,"完成任务 ""{QUEST}""
（到下一个声望等级需要）"
1938677001261102,GAMEOBJECTIVE47,通过任务找到女巫
1938677001261106,GAMEOBJECTIVE51,击败皇帝，公会将达到荣耀的巅峰。
1938677001261107,GAMEOBJECTIVE52,玛吉卡的儿子
1938677001261109,GAMEOBJECTIVE54,美萨萨的失败
