ID,Key,String
6332019019776,MOODCHANGE0,佐尔达克疯了！
6332144848896,MOODCHANGE1,"别担心，开心点！"
6332149043200,MOODCHANGE2,人生皆苦。
6332149043201,MOODCHANGE3,我和冒险小队出去喝酒了！
6332149043202,MOODCHANGE4,有人在背后说我们坏话。
6332149043203,MOODCHANGE5,我耳边还回荡着那个傲慢至极的声音。
6332149043204,MOODCHANGE6,我被提拔为小队队长了！
6332149043205,MOODCHANGE7,我刚完成一项任务。
6332149043206,MOODCHANGE8,空气中弥漫着某种令人不安的气息。
6332149043207,MOODCHANGE9,我被人痛揍一顿，还丢了钱。
6332149043208,MOODCHANGE10,我喜欢自己的房间。挺不错的。
6332149043209,MOODCHANGE11,我分到了超棒的房间！
6332149043210,MOODCHANGE12,冒险者公会的生活真是奢华。
6332149043211,MOODCHANGE13,刚经历了史上最无聊的对话！
6332149043212,MOODCHANGE14,作为新人还是别抱太高期望为好。
6332149043213,MOODCHANGE15,"无论走到哪里，人们都能认出我！"
6332149043214,MOODCHANGE16,我一无所知，也一无所求。
6332149043215,MOODCHANGE17,我害怕会被派去清剿土匪。
6332149043216,MOODCHANGE18,他们为我举办了庆功宴！太棒了！
6332149043217,MOODCHANGE19,公会要是没了我怎么办？所以他们最好让我高兴点。
6332149043218,MOODCHANGE20,有人被无补偿解雇了。
6332149043219,MOODCHANGE21,有个朋友被无补偿解雇了。
6332149043220,MOODCHANGE22,我的爱人被无补偿解雇了！
6332149043221,MOODCHANGE23,我的仇敌被解雇了。太好了！
6332149043222,MOODCHANGE24,我的一位挚友被无补偿解雇了。
6332149043223,MOODCHANGE25,我讨厌的人被解雇了。谁在乎？
6332149043224,MOODCHANGE26,有朋友给我打气。
6332149043225,MOODCHANGE27,我被强行治疗了。疼死了！
6332149043226,MOODCHANGE28,有朋友去世了。
6332149043227,MOODCHANGE29,我仍在悼念某个重要的人
6332149043228,MOODCHANGE30,我亲爱的朋友复活了！真是神迹！
6332149043229,MOODCHANGE31,我和公会会长共进了美餐！
6332149043230,MOODCHANGE32,我是顶尖冒险者，公会应该给我相应的待遇。
6332149043231,MOODCHANGE33,我恋爱了！
6332149043232,MOODCHANGE34,我为公会立下汗马功劳，理应有所回报。
6332149043233,MOODCHANGE35,我就是个蠢货。
6332149043234,MOODCHANGE36,我被免去了队长职务。
6332149043235,MOODCHANGE37,我的爱人死了！
6332149043236,MOODCHANGE38,对我至关重要的人复活了！我永远感激这个奇迹！
6332149043237,MOODCHANGE39,公会的伙食相当不错。
6332149043238,MOODCHANGE40,"我进行了有趣又痛苦的实战训练。"
6332149043239,MOODCHANGE41,我被揍得神志不清。
6332149043240,MOODCHANGE42,上次任务失败了。真是耻辱。
6332153237504,MOODCHANGE43,上次任务虽然艰难但好歹完成了。
6332153237505,MOODCHANGE44,关于我的奇怪流言正在传播。
6332153237506,MOODCHANGE45,我和公会会长愉快地共进了晚餐。
6332153237507,MOODCHANGE46,我没拿到报酬！
6332153237508,MOODCHANGE47,我的一位至交去世了。
6332153237509,MOODCHANGE48,我与公会会长享用了难以置信的美味大餐。
6332153237510,MOODCHANGE49,我拿到了奖金！这就是我对公会的价值！
6332153237511,MOODCHANGE50,有人正在威胁我。
6332153237512,MOODCHANGE51,没人爱我！连我自己都不爱！
6332153237513,MOODCHANGE52,我是最优秀的冒险者之一，理应享受优待。
6332153237514,MOODCHANGE53,和其他冒险者度过了愉快时光。
6332153237515,MOODCHANGE54,没有我的小狼崽我就活不下去。
6332153237516,MOODCHANGE55,我遇到了新的挚友！
6332153237517,MOODCHANGE56,塔维提供的新酒简直绝了！
6332153237518,MOODCHANGE57,我-我又活过来了！真是奇迹！
6332153237519,MOODCHANGE58,让我一个人静静！
6332153237520,MOODCHANGE59,我的欢乐时光被打断了
6332153237521,MOODCHANGE60,我对公会很有价值，理应得到相应待遇。
6332153237522,MOODCHANGE61,公会会长请我喝了杯酒！
6332153237523,MOODCHANGE62,我又被拒绝了...
6332153237524,MOODCHANGE63,我获得了带薪假期！
6332153237525,MOODCHANGE64,看表演者们演出很有趣。
6332153237526,MOODCHANGE65,今天享受了些许关注。
10322878304256,RELATIONSHIP_CHANGE_VALUE_TEXT,{VALUE}
14083789066240,RELATIONSHIPCHANGE0,这两人共同参与了团队协作训练
14083793260544,RELATIONSHIPCHANGE1,分享了彼此过去的经历
14083793260545,RELATIONSHIPCHANGE2,一起度过了糟糕的一天
14083793260546,RELATIONSHIPCHANGE3,在冒险中增进了感情
14083793260547,RELATIONSHIPCHANGE4,进行了尴尬的对话
14083793260548,RELATIONSHIPCHANGE5,发生了争执
14083793260549,RELATIONSHIPCHANGE6,某人变得目中无人
14083793260550,RELATIONSHIPCHANGE7,一方试图利用另一方
14083793260551,RELATIONSHIPCHANGE8,激烈争吵几乎演变成肢体冲突
14083793260552,RELATIONSHIPCHANGE9,进行了乏味的交谈
14083793260553,RELATIONSHIPCHANGE10,观点存在分歧
14083793260554,RELATIONSHIPCHANGE11,遭遇了意外事故
14083793260555,RELATIONSHIPCHANGE12,任务中互相妨碍
14083793260556,RELATIONSHIPCHANGE13,进行了约会
14083793260557,RELATIONSHIPCHANGE14,醉酒骚扰
14083793260558,RELATIONSHIPCHANGE15,发生了美好的事情
14083793260559,RELATIONSHIPCHANGE16,共进美餐度过愉快时光
14083793260560,RELATIONSHIPCHANGE17,一起喝得酩酊大醉
14083793260561,RELATIONSHIPCHANGE18,发生了激烈的争吵
14083793260562,RELATIONSHIPCHANGE19,嫉妒
