ID,Key,String
1834453596803072,WORLDEVENT1_PAGE1,"队伍发现了一个孤独的营地。从营地的状态来看，显然已经被遗弃了好几天。然而，看到周围还有几样露营用品和个人物品，营主显然并不打算离开太久。队伍开始怀疑，这可能是他们正在寻找的失踪者的营地。"
1834453605191680,WORLDEVENT1_DECISION1,看看有没有什么有价值的东西可以带走
1834453609385984,WORLDEVENT1_DECISION1RESULT0_PAGE1,队伍找到了几样可能对他们有用的物品。
1834453609385985,WORLDEVENT1_DECISION2,寻找线索。
1834453613580288,WORLDEVENT1_DECISION2RESULT0_PAGE1,"队伍四处查看，试图找到能够识别营主身份和他们可能去向的线索。

他们在帐篷里找到的许多东西表明，营主实际上是一位冒险者，或者至少是一个在户外生活有些经验的人。现在很可能这就是他们要找的人。

{CHARACTER1}能够找到一些通往营地外的足迹。如果他们跟随这些足迹，或许能发现失踪者的下落。"
1834453613580289,WORLDEVENT1_DECISION2ALTRESULT0_PAGE1,"队伍四处查看，试图找到能够识别营主身份和他们可能去向的线索。

不幸的是，他们没有找到任何有用的信息。目前他们只能确定，这里可能还有其他旅行者。"
1834453613580290,WORLDEVENT1_DECISION3,离开营地。
1834453613580291,WORLDEVENT1_DECISION3RESULT0_PAGE1,队伍离开了营地。这里没有更多的发现。
1834453613580292,WORLDEVENT1_DECISION4,离开营地。
1834453613580293,WORLDEVENT1_DECISION4RESULT0_PAGE1,队伍暂时离开了营地。
1834453613580294,WORLDEVENT2_PAGE1,队伍在思考接下来该怎么办。
1834453613580295,WORLDEVENT3_PAGE1,"冒险者们抵达了Cragmond的竞技场，尽管比赛尚未开始，但已经有一大群观众聚集在竞技场的看台上。这些早到的观众只是为了观察参赛者，等待其他人潮的涌入。

在竞技场内，几组男女已经聚集在一起。他们大多数都是和冒险者们一样的冒险者，但有一个关键的区别，他们与公会并无关联。许多人要么与他人攀谈，夸耀自己的实力，要么则与同伴保持距离，隐藏自己的真实能力。在这些团队中，有一组显得格外突出。他们的装备闪耀着金钱所能买到的最高品质，只有他们散发出的自信与之相匹配——这种自信只能通过多年的战斗经验获得。冒险者们很明显地意识到，这些人是Falken的昔日战友。"
