ID,Key,String
11679216203706368,WORLDEVENT127_DECISION3_STRING_TO_CHECK,忠诚即是谎言
1834453596803072,WORLDEVENT1_PAGE1,冒险队发现了一处荒废的营地。从现场状况判断，这里已被遗弃数日。\n\n然而，散落的露营装备和个人物品表明，营地主人或许并未打算长期离开。队伍猜测这可能是他们正在寻找的失踪者留下的营地。
1834453605191680,WORLDEVENT1_DECISION1,查看是否有值钱物品可取
1834453609385984,WORLDEVENT1_DECISION1RESULT0_PAGE1,冒险队找到了一些可能有用的物品。
1834453609385985,WORLDEVENT1_DECISION2,寻找线索
1834453613580288,WORLDEVENT1_DECISION2RESULT0_PAGE1,冒险队仔细搜查营地，试图找出能确认主人身份或行踪的线索。\n\n帐篷内的诸多物品显示，主人应该是位冒险者——至少是具备野外生存经验之人。种种迹象表明，这正是他们要找的目标。\n\n{CHARACTER1}发现了从营地延伸出去的足迹。若循着这些痕迹追踪，或许能查明失踪者的遭遇。
1834453613580289,WORLDEVENT1_DECISION2ALTRESULT0_PAGE1,冒险队仔细搜查营地，试图找出能确认主人身份或行踪的线索。\n\n遗憾的是，他们未能发现任何有价值的线索。目前只能确定附近可能有其他旅者活动。
1834453613580290,WORLDEVENT1_DECISION3,离开营地
1834453613580291,WORLDEVENT1_DECISION3RESULT0_PAGE1,冒险队离开了营地。这里已无更多可探寻之物。
1834453613580292,WORLDEVENT1_DECISION4,离开营地
1834453613580293,WORLDEVENT1_DECISION4RESULT0_PAGE1,冒险队暂时离开了营地。
1834453613580294,WORLDEVENT2_PAGE1,冒险队正在考虑下一步行动。
1834453613580295,WORLDEVENT3_PAGE1,"冒险者们抵达了克拉格蒙德的竞技场，尽管比武大会尚未开始，但看台上早已聚集了大批观众。这些早到者只为在人群涌入前观察参赛者。  
  
竞技场中已有数支队伍集结。其中大多是与他们相似的冒险者，但关键区别在于这些人都未加入公会。有人四处交际，吹嘘着自己的武勇；也有人远离同伴，隐藏真实实力。在这些团体中，有一支队伍格外引人注目。他们的装备闪耀着金钱能买到的最顶级品质，周身散发出的耀眼神采唯有历经沙场的老兵才能拥有——冒险者们立刻认出，这些人正是法尔肯曾经的战友。"
1834453617774592,WORLDEVENT3RESULT0_PAGE1,"突然，一位华服男子高声喝令，威严的嗓音在竞技场中回荡。他优雅挥手自称为竞技场主，向远道而来的参赛者致谢。眼中闪烁着兴奋的光芒，他继续解释：在比武大会开始前，每支队伍都需通过系列试炼证明实力。唯有得分最高者方能获得竞技殊荣。  
  
""准备迎接力量、敏捷与意志力的终极考验吧！""他宣告的声音饱含期待，""唯有最强者能赢得在我们的竞技场战斗的权利！"""
1834453617774593,WORLDEVENT4_PAGE1,"队伍找到了村长提及的冒险者达里尔。从装备判断，这个年轻人显然惯用长弓作战。  
  
此刻他正在拆除营地，显然准备离开村庄。"
1834453617774594,WORLDEVENT4_PAGE2,"""我猜你们就是那个公会派来的冒险者，村民雇来保护他们的。""发现队伍后他说道，""不用浪费时间寒暄了，我的答复和给村民的一样：  
  
我可不想白白送命。"""
