ID,Key,String
118150639616,ASSIGNMENT_TITLE01,要塞周边的资源收集
896894480384,ASSIGNMENT_FAILURE_01,很遗憾，小队未能找到任何资源。
1547582025728,ASSIGNMENT_DESCRIPTION02,派遣一队冒险者进行团队建设训练，以增进他们之间的关系。
1891485593600,ASSIGNMENT_FAILURE_02,训练以失败告终，冒险者们之间的关系毫无进展。
2298505048064,ASSIGNMENT_TITLE03,踏上冒险旅程
2503384215552,ASSIGNMENT_DESCRIPTION03,让冒险者获取经验的最简单方法，就是让他们自由地出去探索世界。派遣冒险者，让他们经历属于自己的冒险。
2668769816576,ASSIGNMENT_TITLE04,寻找神秘少女
2811984326656,ASSIGNMENT_DESCRIPTION04,通往冒险者公会的道路上出现了一名奇怪的少女，正在干扰附近的旅行者。目前还未有旅行者受到伤害，但若不尽早调查，未来可能引发问题。派遣冒险者调查清楚到底发生了什么。
3269087965184,ASSIGNMENT_TITLE05,商人寻求护卫
3516929388544,ASSIGNMENT_DESCRIPTION05,"一名本地商人为他的下一趟商队旅程寻找可靠的护卫，并正式向冒险者公会提出了请求。接受此任务的冒险者将在一段较长时间内无法执行其他任务，但商人提供了丰厚的报酬。"
4982117216256,ASSIGNMENT_FAILURE_05,被派去保护商队的冒险者们任务失败了。商队遭到力量远超冒险者能力范围的敌人袭击，被迫撤退，商人与商队均告失踪。
5400561954816,ASSIGNMENT_TITLE06,圣骑士训练计划
5568812265472,ASSIGNMENT_DESCRIPTION06,"佐达克告诉你，他知道一种古老的禁忌训练方法，可以快速提升受训者的力量与意志力。他主动提出训练我们的一名冒险者。当你询问为什么是禁忌时，他神色紧张地回避了问题，并建议派遣一个意志坚定的人。"
6357400137728,ASSIGNMENT_FAILURE_06,"{CHARACTER1}显然放弃了佐达克的训练，称其为疯狂之举。佐达克为未能成功训练你派遣的冒险者道歉，并承诺下次一定会事先把候选人用链子绑起来。你决定还是不要深究细节为好。"
6860888584192,ASSIGNMENT_TITLE07,寻找老圣骑士
6986654789632,ASSIGNMENT_DESCRIPTION07,"伊登请你帮忙寻找一位他的旧识，一名游走各地、帮助有困难者的年迈圣骑士。由于年事已高，伊登非常担心他的安全，希望冒险者们能够说服这名圣骑士停止涉险，并邀请他加入冒险者公会担任导师。"
7209930174464,ASSIGNMENT_TITLE08,道路巡逻
10328177094656,ASSIGNMENT_DESCRIPTION08,"通往冒险者公会的道路变得越来越不安全，不少希望成为冒险者的人无法安全抵达公会。派遣冒险者暂时在道路上巡逻，也许能震慑那些盘踞的强盗。"
10758248443904,ASSIGNMENT_FAILURE_08,"冒险者在道路上巡逻了几天，但遗憾的是，他们并未取得实质性进展，强盗依旧我行我素。"
11126772576256,ASSIGNMENT_TITLE09,收集稀有资源
11310646669312,ASSIGNMENT_DESCRIPTION09,"公会目前急需一些稀有资源，我们需要派遣一支技术高超的冒险者队伍去收集。这些冒险者将前往远离文明的偏远危险地区寻找这些稀有资源。"
11469396881408,ASSIGNMENT_FAILURE_09,冒险者们装备不足，无法完成交给他们的任务，最终空手而归。
11788059127808,ASSIGNMENT_TITLE10,白衣新娘
12082163724288,ASSIGNMENT_DESCRIPTION10,"在位于人类居住地与尤顿人领土交界处的北境城市冰谷附近，最近发生了一系列令人担忧的事件。不少前来此地进行贸易的尤顿旅行者被发现死亡。冰谷的市长非常担心这些事件可能会破坏与邻近尤顿部落之间建立的友好关系。因此，冒险者公会已被正式委托调查这些死亡事件的原因，并消除潜在的威胁。"
12419457069056,ASSIGNMENT_TITLE11,诸神的试炼
12608163000320,ASSIGNMENT_DESCRIPTION11,"众神提议赐予冒险者公会中的一名冒险者神圣的祝福，但首先需要测试候选人的资格。被选中的冒险者需用一整天祈祷，以展现对众神的虔诚与决心。"
12911868358656,ASSIGNMENT_FAILURE_11,"遗憾的是，众神认为{CHARACTER1}并不具备获得他们祝福的资格。{GENDER1:cond:=1?他|=0?她}或许能再次尝试证明自己的虔诚，但目前众神认为{GENDER1:cond:=1?他|=0?她}还不够格。"
28018270777344,ASSIGNMENT_TITLE12,小型任务
28280498663424,ASSIGNMENT_DESCRIPTION12,最近我们收到全国各地的大量任务请求。显然，人们再次开始信任冒险者公会了。其中许多任务比较简单，可以完全交由冒险者自行处理。
28683659358208,ASSIGNMENT_FAILURE_12,冒险者们完成任务后归来，但表现似乎非常糟糕。
29131904626688,ASSIGNMENT_TITLE13,延迟的货物
29288343777280,ASSIGNMENT_DESCRIPTION13,塔维为冒险者们订购了一批稀有的酒类货物，但货物迟迟未到。她希望我们能派遣冒险者去寻找失踪的货物，并暗示冒险者们若能带回这些酒类，将会非常感激。
29515410812928,ASSIGNMENT_FAILURE_13,"尽管冒险者们仔细搜寻了货物预计送达冒险者公会的整条路线，但却找不到任何失踪货物的痕迹。运送者和货物均杳无踪迹，货物的下落成了谜团。运送者和酒类货物发生了什么，我们恐怕永远无法得知真相。"
29800174694400,ASSIGNMENT_TITLE14,识字课程
30906602729472,ASSIGNMENT_DESCRIPTION14,"玛吉卡对冒险者公会中冒险者们的高文盲率感到失望。为了改善这一情况，她决定为感兴趣的冒险者们举办一次识字课程。不过，她特别强调要慎重挑选参与者，因为她不会再举办第二次。"
31135943077888,ASSIGNMENT_TITLE15,骑士训练
31379632140288,ASSIGNMENT_DESCRIPTION15,卢安娜愿意为冒险者们提供她在骑士时代所接受的浓缩训练版本。她的经验和知识对那些渴望在下次任务中幸存下来的冒险者来说极其宝贵。
31831161548800,ASSIGNMENT_TITLE16,首位弟子
32413460967424,ASSIGNMENT_DESCRIPTION16,"拜伊成为冒险者公会的导师后，表示希望收下她的第一名弟子。她请求你派一位合适的牺牲...我是说合适的学生给她，让她能全力以赴地教授。"
