ID,Key,Stringdeep,Stringchat
11679216203706368,WORLDEVENT127_DECISION3_STRING_TO_CHECK,忠诚即是谎言,忠诚是谎言
1834453596803072,WORLDEVENT1_PAGE1,"队伍发现了一个孤零零的营地。从现场状况判断，这里至少已经空置数日。

不过，看到散落在四周的露营用品和个人物品，营地主人大约并未打算长期离开。队伍猜测这可能正是他们正在寻找的失踪者留下的营地。","队伍发现了一个孤独的营地。从营地的状态来看，它已经被遗弃了好几天。  

然而，看到仍有几件露营用品和个人物品散落在周围，营地的主人显然并不打算离开太久。队伍开始怀疑这可能是他们正在寻找的失踪者的营地。"
1834453605191680,WORLDEVENT1_DECISION1,看看有没有值得拿走的东西,查看是否有任何有价值的物品可以带走
1834453609385984,WORLDEVENT1_DECISION1RESULT0_PAGE1,队伍找到几件可能派得上用场的物品。,队伍找到了一些可能对他们有用的物品。
1834453609385985,WORLDEVENT1_DECISION2,搜寻线索,寻找线索。
1834453613580288,WORLDEVENT1_DECISION2RESULT0_PAGE1,"队伍在营地周围仔细搜索，试图找出能确认营地主身份及其去向的蛛丝马迹。

帐篷内的大部分物品表明，主人应当是个冒险者，至少是具备一定野外生存经验的人。现在几乎可以肯定这就是他们要寻找的目标。

{CHARACTER1}发现了从营地延伸出去的足迹。若循着这些痕迹追踪，或许能查明失踪者的遭遇。","队伍四处查看，看看能否找到任何能够识别营地主人的线索，以及他们可能在哪里。  

他们在帐篷里发现的许多东西表明，营地的主人实际上是一名冒险者，或者至少是一个在户外生活方面有些经验的人。现在很可能这就是他们正在寻找的人。  

{CHARACTER1}能够找到一些通往营地外的足迹。如果他们跟随这些足迹，或许能发现失踪的儿子发生了什么。"
1834453613580289,WORLDEVENT1_DECISION2ALTRESULT0_PAGE1,"队伍在营地周围仔细搜索，试图找出能确认营地主身份及其去向的蛛丝马迹。

可惜他们未能找到任何有价值的线索。目前唯一能确定的是，附近可能还有另一位旅行者。","队伍四处查看，看看能否找到任何能够识别营地主人的线索，以及他们可能在哪里。  

不幸的是，他们没有找到任何能够提供线索的东西。现在他们只能确定这里可能还有其他旅客。"
1834453613580290,WORLDEVENT1_DECISION3,离开营地,离开营地。
1834453613580291,WORLDEVENT1_DECISION3RESULT0_PAGE1,队伍离开了营地。这里已没有更多值得探寻之物。,队伍离开了营地。这里没有更多的发现。
1834453613580292,WORLDEVENT1_DECISION4,离开营地,离开营地。
1834453613580293,WORLDEVENT1_DECISION4RESULT0_PAGE1,队伍暂时离开了营地。,队伍暂时离开了营地。
1834453613580294,WORLDEVENT2_PAGE1,队伍在考虑接下来该采取什么行动。,队伍在思考接下来该做什么。
1834453613580295,WORLDEVENT3_PAGE1,"冒险者们抵达了克雷格蒙德的竞技场，尽管比武大会尚未开始，但看台上早已挤满了提前到场的观众。这些早到者只为在人群涌入前观察参赛选手。  

竞技场内已聚集了数支队伍。其中多数是和他们相似的冒险者，不过关键区别在于这些人都未加入公会。他们有的在人群中自吹自擂，有的则刻意远离同侪以隐藏实力。在这些团体中，有支队伍格外引人注目——他们的装备闪耀着金钱能买到的最顶级品质，浑身散发着唯有历经沙场才能淬炼出的耀目自信。冒险者们立即意识到：这些人正是法尔肯昔日的战友。","冒险者们抵达了克拉格蒙德的竞技场，尽管比赛尚未开始，但已经有一大群观众聚集在竞技场的看台上。这些提前到达的人只是为了观察参赛者，等待其他观众的到来。  

在竞技场中，几组男女已经集合在一起。他们大多数都是和他们一样的冒险者，然而有一个关键的不同之处是，他们并未与公会有任何关联。他们中的许多人要么与他人交谈，夸耀自己的能力，要么则与同伴保持距离，以掩盖自己的真实实力。在这些群体中，有一组显得格外突出。他们的装备闪耀着金钱所能购买的最高品质，只有他们散发出的自信与之相匹配——这种自信只能通过多年的战斗经验获得。冒险者们显然意识到，这些人是法尔肯的昔日战友。"
1834453617774592,WORLDEVENT3RESULT0_PAGE1,"突然，一位华服男子以威严的嗓音响彻竞技场。他优雅挥手自称为比武场主人，感谢参赛者远道而来参加盛会。眼中闪烁着兴奋的光芒，他继续解释：在正赛开始前，每支队伍都需通过系列试炼证明实力，唯有积分最高者方能获得入场资格。  

""准备好迎接力量、敏捷与意志力的终极考验吧！""他宣告的声音饱含期待，""唯有最强者才能赢得在我们竞技场战斗的荣耀！""","突然，一个身着华丽服装的男子高声叫道，他的威严声音在竞技场中回荡。随着他优雅的手势，他自我介绍为竞技场的主人，并对参赛者们的到来表示感谢，参与这场盛大的比赛。眼中闪烁着兴奋的光芒，他继续解释，在盛大比赛开始之前，每个队伍都需要在一系列挑战中证明自己。只有得分最高的队伍才能获得在竞技场竞争的荣誉。  

“准备迎接力量、灵巧和意志力的终极考验！”他宣称，声音中充满期待的火花。“只有你们中最优秀的人才能获得在我们竞技场战斗的权利！”"
